RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
1,1,Sanitized Defender 1,FA,CB1,6,1,1
2,1,Sanitized Defender 2,FA,S1,7,2,2
3,1,Sanitized Defender 3,FA,LB1,8,3,3
4,1,Sanitized Defender 4,FA,DE1,9,,4
5,1,Sanitized Defender 5,FA,DT1,10,1,5
6,1,Sanitized Defender 6,FA,CB2,11,2,6
7,1,Sanitized Defender 7,FA,S2,12,3,
8,1,Sanitized Defender 8,FA,LB2,13,,1
9,1,Sanitized Defender 9,FA,DE2,14,1,2
10,1,Sanitized Defender 10,FA,DT2,5,2,3
11,1,Sanitized Defender 11,FA,CB3,6,3,4
12,1,Sanitized Defender 12,FA,S3,7,,5
13,1,Sanitized Defender 13,FA,LB3,8,1,6
14,1,Sanitized Defender 14,FA,DE3,9,2,
15,1,Sanitized Defender 15,FA,DT3,10,3,1
16,1,Sanitized Defender 16,FA,CB4,11,,2
17,1,Sanitized Defender 17,FA,S4,12,1,3
18,1,Sanitized Defender 18,FA,LB4,13,2,4
19,1,Sanitized Defender 19,FA,DE4,14,3,5
20,1,Sanitized Defender 20,FA,DT4,5,,6
21,1,Sanitized Defender 21,FA,CB5,6,1,
22,1,Sanitized Defender 22,FA,S5,7,2,1
23,1,Sanitized Defender 23,FA,LB5,8,3,2
24,1,Sanitized Defender 24,FA,DE5,9,,3
25,1,Sanitized Defender 25,FA,DT5,10,1,4
26,1,Sanitized Defender 26,FA,CB6,11,2,5
27,1,Sanitized Defender 27,FA,S6,12,3,6
28,1,Sanitized Defender 28,FA,LB6,13,,
29,1,Sanitized Defender 29,FA,DE6,14,1,1
30,1,Sanitized Defender 30,FA,DT6,5,2,2
31,1,Sanitized Defender 31,FA,CB7,6,3,3
32,1,Sanitized Defender 32,FA,S7,7,,4
33,1,Sanitized Defender 33,FA,LB7,8,1,5
34,1,Sanitized Defender 34,FA,DE7,9,2,6
35,1,Sanitized Defender 35,FA,DT7,10,3,
36,1,Sanitized Defender 36,FA,CB8,11,,1
37,1,Sanitized Defender 37,FA,S8,12,1,2
38,1,Sanitized Defender 38,FA,LB8,13,2,3
39,1,Sanitized Defender 39,FA,DE8,14,3,4
40,1,Sanitized Defender 40,FA,DT8,5,,5
41,2,Sanitized Defender 41,FA,CB9,6,1,6
42,2,Sanitized Defender 42,FA,S9,7,2,
43,2,Sanitized Defender 43,FA,LB9,8,3,1
44,2,Sanitized Defender 44,FA,DE9,9,,2
45,2,Sanitized Defender 45,FA,DT9,10,1,3
46,2,Sanitized Defender 46,FA,CB10,11,2,4
47,2,Sanitized Defender 47,FA,S10,12,3,5
48,2,Sanitized Defender 48,FA,LB10,13,,6
49,2,Sanitized Defender 49,FA,DE10,14,1,
50,2,Sanitized Defender 50,FA,DT10,5,2,1
51,2,Sanitized Defender 51,FA,CB11,6,3,2
52,2,Sanitized Defender 52,FA,S11,7,,3
53,2,Sanitized Defender 53,FA,LB11,8,1,4
54,2,Sanitized Defender 54,FA,DE11,9,2,5
55,2,Sanitized Defender 55,FA,DT11,10,3,6
56,2,Sanitized Defender 56,FA,CB12,11,,
57,2,Sanitized Defender 57,FA,S12,12,1,1
58,2,Sanitized Defender 58,FA,LB12,13,2,2
59,2,Sanitized Defender 59,FA,DE12,14,3,3
60,2,Sanitized Defender 60,FA,DT12,5,,4
61,2,Sanitized Defender 61,FA,CB13,6,1,5
62,2,Sanitized Defender 62,FA,S13,7,2,6
63,2,Sanitized Defender 63,FA,LB13,8,3,
64,2,Sanitized Defender 64,FA,DE13,9,,1
65,2,Sanitized Defender 65,FA,DT13,10,1,2
66,2,Sanitized Defender 66,FA,CB14,11,2,3
67,2,Sanitized Defender 67,FA,S14,12,3,4
68,2,Sanitized Defender 68,FA,LB14,13,,5
69,2,Sanitized Defender 69,FA,DE14,14,1,6
70,2,Sanitized Defender 70,FA,DT14,5,2,
71,2,Sanitized Defender 71,FA,CB15,6,3,1
72,2,Sanitized Defender 72,FA,S15,7,,2
73,2,Sanitized Defender 73,FA,LB15,8,1,3
74,2,Sanitized Defender 74,FA,DE15,9,2,4
75,2,Sanitized Defender 75,FA,DT15,10,3,5
76,2,Sanitized Defender 76,FA,CB16,11,,6
77,2,Sanitized Defender 77,FA,S16,12,1,
78,2,Sanitized Defender 78,FA,LB16,13,2,1
79,2,Sanitized Defender 79,FA,DE16,14,3,2
80,2,Sanitized Defender 80,FA,DT16,5,,3
81,3,Sanitized Defender 81,FA,CB17,6,1,4
82,3,Sanitized Defender 82,FA,S17,7,2,5
83,3,Sanitized Defender 83,FA,LB17,8,3,6
84,3,Sanitized Defender 84,FA,DE17,9,,
85,3,Sanitized Defender 85,FA,DT17,10,1,1
86,3,Sanitized Defender 86,FA,CB18,11,2,2
87,3,Sanitized Defender 87,FA,S18,12,3,3
88,3,Sanitized Defender 88,FA,LB18,13,,4
89,3,Sanitized Defender 89,FA,DE18,14,1,5
90,3,Sanitized Defender 90,FA,DT18,5,2,6
91,3,Sanitized Defender 91,FA,CB19,6,3,
92,3,Sanitized Defender 92,FA,S19,7,,1
93,3,Sanitized Defender 93,FA,LB19,8,1,2
94,3,Sanitized Defender 94,FA,DE19,9,2,3
95,3,Sanitized Defender 95,FA,DT19,10,3,4
96,3,Sanitized Defender 96,FA,CB20,11,,5
97,3,Sanitized Defender 97,FA,S20,12,1,6
98,3,Sanitized Defender 98,FA,LB20,13,2,
99,3,Sanitized Defender 99,FA,DE20,14,3,1
100,3,Sanitized Defender 100,FA,DT20,5,,2
101,3,Sanitized Defender 101,FA,CB21,6,1,3
102,3,Sanitized Defender 102,FA,S21,7,2,4
103,3,Sanitized Defender 103,FA,LB21,8,3,5
104,3,Sanitized Defender 104,FA,DE21,9,,6
105,3,Sanitized Defender 105,FA,DT21,10,1,
106,3,Sanitized Defender 106,FA,CB22,11,2,1
107,3,Sanitized Defender 107,FA,S22,12,3,2
108,3,Sanitized Defender 108,FA,LB22,13,,3
109,3,Sanitized Defender 109,FA,DE22,14,1,4
110,3,Sanitized Defender 110,FA,DT22,5,2,5
111,3,Sanitized Defender 111,FA,CB23,6,3,6
112,3,Sanitized Defender 112,FA,S23,7,,
113,3,Sanitized Defender 113,FA,LB23,8,1,1
114,3,Sanitized Defender 114,FA,DE23,9,2,2
115,3,Sanitized Defender 115,FA,DT23,10,3,3
116,3,Sanitized Defender 116,FA,CB24,11,,4
117,3,Sanitized Defender 117,FA,S24,12,1,5
118,3,Sanitized Defender 118,FA,LB24,13,2,6
119,3,Sanitized Defender 119,FA,DE24,14,3,
120,3,Sanitized Defender 120,FA,DT24,5,,1
121,4,Sanitized Defender 121,FA,CB25,6,1,2
122,4,Sanitized Defender 122,FA,S25,7,2,3
123,4,Sanitized Defender 123,FA,LB25,8,3,4
124,4,Sanitized Defender 124,FA,DE25,9,,5
125,4,Sanitized Defender 125,FA,DT25,10,1,6
126,4,Sanitized Defender 126,FA,CB26,11,2,
127,4,Sanitized Defender 127,FA,S26,12,3,1
128,4,Sanitized Defender 128,FA,LB26,13,,2
129,4,Sanitized Defender 129,FA,DE26,14,1,3
130,4,Sanitized Defender 130,FA,DT26,5,2,4
131,4,Sanitized Defender 131,FA,CB27,6,3,5
132,4,Sanitized Defender 132,FA,S27,7,,6
133,4,Sanitized Defender 133,FA,LB27,8,1,
134,4,Sanitized Defender 134,FA,DE27,9,2,1
135,4,Sanitized Defender 135,FA,DT27,10,3,2
136,4,Sanitized Defender 136,FA,CB28,11,,3
137,4,Sanitized Defender 137,FA,S28,12,1,4
138,4,Sanitized Defender 138,FA,LB28,13,2,5
139,4,Sanitized Defender 139,FA,DE28,14,3,6
140,4,Sanitized Defender 140,FA,DT28,5,,
141,4,Sanitized Defender 141,FA,CB29,6,1,1
142,4,Sanitized Defender 142,FA,S29,7,2,2
143,4,Sanitized Defender 143,FA,LB29,8,3,3
144,4,Sanitized Defender 144,FA,DE29,9,,4
145,4,Sanitized Defender 145,FA,DT29,10,1,5
146,4,Sanitized Defender 146,FA,CB30,11,2,6
147,4,Sanitized Defender 147,FA,S30,12,3,
148,4,Sanitized Defender 148,FA,LB30,13,,1
149,4,Sanitized Defender 149,FA,DE30,14,1,2
150,4,Sanitized Defender 150,FA,DT30,5,2,3
151,4,Sanitized Defender 151,FA,CB31,6,3,4
152,4,Sanitized Defender 152,FA,S31,7,,5
153,4,Sanitized Defender 153,FA,LB31,8,1,6
154,4,Sanitized Defender 154,FA,DE31,9,2,
155,4,Sanitized Defender 155,FA,DT31,10,3,1
156,4,Sanitized Defender 156,FA,CB32,11,,2
157,4,Sanitized Defender 157,FA,S32,12,1,3
158,4,Sanitized Defender 158,FA,LB32,13,2,4
