RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,UPSIDE,BUST,SOS SEASON,ECR VS. ADP,Provider Added
1,1,Sanitized QB Player 1,FA,QB1,6,1,1,1,1,metadata-1
2,1,Sanitized RB Player 2,FA,RB1,7,2,2,2,2,metadata-2
3,1,Sanitized WR Player 3,FA,WR1,8,3,3,3,3,metadata-3
4,1,Sanitized TE Player 4,FA,TE1,9,4,4,,4,metadata-4
5,1,Sanitized QB Player 5,FA,QB2,10,,5,1,5,metadata-5
6,1,Sanitized RB Player 6,FA,RB2,11,1,6,2,6,metadata-6
7,1,Sanitized WR Player 7,FA,WR2,12,2,,3,7,metadata-7
8,1,Sanitized TE Player 8,FA,TE2,13,3,1,,8,metadata-8
9,1,Sanitized QB Player 9,FA,QB3,14,4,2,1,,metadata-9
10,1,Sanitized RB Player 10,FA,RB3,5,,3,2,1,metadata-10
11,1,Sanitized WR Player 11,FA,WR3,6,1,4,3,2,metadata-11
12,1,Sanitized TE Player 12,FA,TE3,7,2,5,,3,metadata-12
13,1,Sanitized QB Player 13,FA,QB4,8,3,6,1,4,metadata-13
14,1,Sanitized RB Player 14,FA,RB4,9,4,,2,5,metadata-14
15,1,Sanitized WR Player 15,FA,WR4,10,,1,3,6,metadata-15
16,1,Sanitized TE Player 16,FA,TE4,11,1,2,,7,metadata-16
17,1,Sanitized QB Player 17,FA,QB5,12,2,3,1,8,metadata-17
18,1,Sanitized RB Player 18,FA,RB5,13,3,4,2,,metadata-18
19,1,Sanitized WR Player 19,FA,WR5,14,4,5,3,1,metadata-19
20,1,Sanitized TE Player 20,FA,TE5,5,,6,,2,metadata-20
21,1,Sanitized QB Player 21,FA,QB6,6,1,,1,3,metadata-21
22,1,Sanitized RB Player 22,FA,RB6,7,2,1,2,4,metadata-22
23,1,Sanitized WR Player 23,FA,WR6,8,3,2,3,5,metadata-23
24,1,Sanitized TE Player 24,FA,TE6,9,4,3,,6,metadata-24
